flyID,batch_combination,sperm_donor_hatch,SF_donor_hatch,dissection_date,time_recording,sperm_age,seminal_fluid_age,treatment_combination,mean_motility_3frames,sperm_motility_frame1,sperm_motility_frame2,sperm_motility_frame3,sperm_motility_field_of_view,video_filename_old,video_recoded
31,"B,B",30.12.22,30.12.22,01.02.23,6,old sperm,old SF,old sperm with old SF,1.504633333,1.4115,1.2611,1.8413,1.5849,Fly31_6min,124
32,"B,J",30.12.22,19.01.23,01.02.23,0,old sperm,young SF,old sperm with young SF,9.660066667,9.6535,9.8097,9.517,6.9757,Fly32_0min,125
32,"B,J",30.12.22,19.01.23,01.02.23,2,old sperm,young SF,old sperm with young SF,9.0768,9.4223,9.7046,8.1035,5.882,Fly32_2min,126
32,"B,J",30.12.22,19.01.23,01.02.23,4,old sperm,young SF,old sperm with young SF,8.460466667,8.8146,9.5451,7.0217,5.1428,Fly32_4min,127
32,"B,J",30.12.22,19.01.23,01.02.23,6,old sperm,young SF,old sperm with young SF,7.560566667,8.1101,9.6254,4.9462,4.5361,Fly32_6min,128
33,"J,J",19.01.23,19.01.23,01.02.23,0,young sperm,young SF,young sperm with young SF,9.476133333,11.0424,9.3684,8.0176,5.0947,Fly33_0min,129
33,"J,J",19.01.23,19.01.23,01.02.23,2,young sperm,young SF,young sperm with young SF,7.9848,9.4653,7.7551,6.734,4.47,Fly33_2min,130
33,"J,J",19.01.23,19.01.23,01.02.23,4,young sperm,young SF,young sperm with young SF,6.942333333,8.6915,6.9163,5.2192,4.1492,Fly33_4min,131
33,"J,J",19.01.23,19.01.23,01.02.23,6,young sperm,young SF,young sperm with young SF,6.4323,7.646,6.4645,5.1864,3.9836,Fly33_6min,132
34,"J,B",19.01.23,30.12.22,01.02.23,0,young sperm,old SF,young sperm with old SF,9.1417,8.3916,9.3411,9.6924,4.6762,Fly34_0min,133
34,"J,B",19.01.23,30.12.22,01.02.23,2,young sperm,old SF,young sperm with old SF,7.502533333,6.6835,7.7361,8.088,3.9759,Fly34_2min,134
34,"J,B",19.01.23,30.12.22,01.02.23,4,young sperm,old SF,young sperm with old SF,6.606333333,5.698,6.4234,7.6976,3.5963,Fly34_4min,135
34,"J,B",19.01.23,30.12.22,01.02.23,6,young sperm,old SF,young sperm with old SF,6.039833333,5.2651,5.421,7.4334,3.3788,Fly34_6min,136
35,"C,C",04.01.23,04.01.23,02.02.23,0,old sperm,old SF,old sperm with old SF,9.698733333,9.3787,8.6628,11.0547,7.4237,Fly35_0min,137
35,"C,C",04.01.23,04.01.23,02.02.23,2,old sperm,old SF,old sperm with old SF,8.4655,8.7693,8.1537,8.4735,6.7665,Fly35_2min,138
35,"C,C",04.01.23,04.01.23,02.02.23,4,old sperm,old SF,old sperm with old SF,7.327933333,7.5304,7.6165,6.8369,6.1517,Fly35_4min,139
35,"C,C",04.01.23,04.01.23,02.02.23,6,old sperm,old SF,old sperm with old SF,6.921566667,7.0531,7.0823,6.6293,5.7088,Fly35_6min,140
36,"C,J",04.01.23,19.01.23,02.02.23,0,old sperm,young SF,old sperm with young SF,11.5401,10.8612,12.239,11.5201,5.8254,Fly36_0min,141
36,"C,J",04.01.23,19.01.23,02.02.23,2,old sperm,young SF,old sperm with young SF,10.40836667,9.9296,9.8179,11.4776,5.4756,Fly36_2min,142
36,"C,J",04.01.23,19.01.23,02.02.23,4,old sperm,young SF,old sperm with young SF,9.048433333,8.9444,8.8576,9.3433,5.259,Fly36_4min,143
36,"C,J",04.01.23,19.01.23,02.02.23,6,old sperm,young SF,old sperm with young SF,8.873933333,8.3171,8.2909,10.0138,5.1174,Fly36_6min,144
37,"J,J",19.01.23,19.01.23,02.02.23,0,young sperm,young SF,young sperm with young SF,10.56563333,10.9617,10.5636,10.1716,8.0561,Fly37_0min,145
37,"J,J",19.01.23,19.01.23,02.02.23,2,young sperm,young SF,young sperm with young SF,9.368333333,9.1422,9.7426,9.2202,7.0191,Fly37_2min,146
37,"J,J",19.01.23,19.01.23,02.02.23,4,young sperm,young SF,young sperm with young SF,8.746833333,8.62,9.0429,8.5776,6.3543,Fly37_4min,147
37,"J,J",19.01.23,19.01.23,02.02.23,6,young sperm,young SF,young sperm with young SF,8.003266667,7.5281,8.3373,8.1444,6.0353,Fly37_6min,148
38,"J,C",19.01.23,04.01.23,02.02.23,0,young sperm,old SF,young sperm with old SF,9.054,9.6205,9.0105,8.531,6.9922,Fly38_0min,149
38,"J,C",19.01.23,04.01.23,02.02.23,2,young sperm,old SF,young sperm with old SF,8.271166667,8.7545,8.145,7.914,6.4237,Fly38_2min,150
38,"J,C",19.01.23,04.01.23,02.02.23,4,young sperm,old SF,young sperm with old SF,7.6208,8.3746,7.1906,7.2972,5.9877,Fly38_4min,151
38,"J,C",19.01.23,04.01.23,02.02.23,6,young sperm,old SF,young sperm with old SF,9.9649,10.6626,9.4309,9.8012,7.3275,Fly38_6min,152
39,"C,C",04.01.23,04.01.23,02.02.23,0,old sperm,old SF,old sperm with old SF,7.180566667,7.9322,7.7892,5.8203,5.5663,Fly39_0min,153
39,"C,C",04.01.23,04.01.23,02.02.23,2,old sperm,old SF,old sperm with old SF,5.5244,6.4624,6.6333,3.4775,3.9985,Fly39_2min,154
39,"C,C",04.01.23,04.01.23,02.02.23,4,old sperm,old SF,old sperm with old SF,4.505566667,5.3334,6.0082,2.1751,3.0849,Fly39_4min,155
39,"C,C",04.01.23,04.01.23,02.02.23,6,old sperm,old SF,old sperm with old SF,3.746433333,4.2587,5.348,1.6326,2.5122,Fly39_6min,156
40,"C,J",04.01.23,19.01.23,02.02.23,0,old sperm,young SF,old sperm with young SF,9.104466667,8.2593,10.4277,8.6264,5.618,Fly40_0min,157
40,"C,J",04.01.23,19.01.23,02.02.23,2,old sperm,young SF,old sperm with young SF,7.576266667,7.5972,8.1813,6.9503,4.2786,Fly40_2min,158
40,"C,J",04.01.23,19.01.23,02.02.23,4,old sperm,young SF,old sperm with young SF,6.472733333,6.4349,7.1714,5.8119,3.6161,Fly40_4min,159
40,"C,J",04.01.23,19.01.23,02.02.23,6,old sperm,young SF,old sperm with young SF,5.197266667,5.299,6.2398,4.053,3.1872,Fly40_6min,160
41,"J,J",19.01.23,19.01.23,02.02.23,0,young sperm,young SF,young sperm with young SF,9.175066667,8.9994,9.7295,8.7963,5.6284,Fly41_0min,161
41,"J,J",19.01.23,19.01.23,02.02.23,2,young sperm,young SF,young sperm with young SF,7.336166667,6.6164,7.6082,7.7839,4.9747,Fly41_2min,162
41,"J,J",19.01.23,19.01.23,02.02.23,4,young sperm,young SF,young sperm with young SF,6.038166667,5.8177,6.0157,6.2811,4.2572,Fly41_4min,163
41,"J,J",19.01.23,19.01.23,02.02.23,6,young sperm,young SF,young sperm with young SF,5.331833333,5.5187,5.4212,5.0556,4.02,Fly41_6min,164
42,"J,C",19.01.23,04.01.23,02.02.23,0,young sperm,old SF,young sperm with old SF,12.02786667,12.4966,9.7363,13.8507,5.6877,Fly42_0min,165
42,"J,C",19.01.23,04.01.23,02.02.23,2,young sperm,old SF,young sperm with old SF,9.356,9.3281,8.7559,9.984,6.2077,Fly42_2min,166
42,"J,C",19.01.23,04.01.23,02.02.23,4,young sperm,old SF,young sperm with old SF,8.7558,8.7542,7.6988,9.8144,6.2572,Fly42_4min,167
